,log(Time),log(L/Lsun),log(T/Tsun)
0,1000000.0,25.878879613786985,17.285444876906706
1,1832980.7108324375,25.77186090908394,17.267546675820526
2,3359818.286283781,25.577656267598275,17.234924314752657
3,6158482.110660267,25.228129130817543,17.175739918979136
4,11288378.916846883,24.608316062992298,17.069258990154644
5,20691380.811147902,23.537750064295377,16.880504835055266
6,37926901.90732254,21.77088726607722,16.554391667984543
7,69519279.61775605,19.06666459696468,16.014481262361976
8,127427498.57031322,15.38380780836006,15.177846465290154
9,233572146.90901214,11.124801513894447,13.996429524441814
10,428133239.8719396,7.095342189528499,12.507990139867601
11,784759970.3514622,4.008500263644156,10.844004098386224
12,1438449888.2876658,2.050891556411841,9.17127821544866
13,2636650898.7303553,0.9779036959946286,7.621109749192033
14,4832930238.571753,0.44565266103209017,6.261715331442769
15,8858667904.100832,0.19765065797946565,5.109974819183966
16,16237767391.887177,0.0862983383983397,4.153792543366798
17,29763514416.31313,0.03734937085281177,3.369108648763697
18,54555947811.68514,0.016085805825516886,2.7293227762342487
19,100000000000.0,0.006909303384115022,2.2095445355050036
